Word,Language
aburrido,Spanish
aguacate,Spanish
ahorrar,Spanish
alrededor,Spanish
anaranjado,Spanish
apoderarse,Spanish
aprovecharse,Spanish
balbucear,Spanish
carrera,Spanish
carro,Spanish
ciudad,Spanish
corredora,Spanish
desarrollando,Spanish
desempeñar,Spanish
desmesuradamente,Spanish
desordenada,Spanish
desoxirribonucleótido,Spanish
dispuesto,Spanish
distribuidores,Spanish
equivocarse,Spanish
esbirro,Spanish
espantapájaros,Spanish
establecer,Spanish
estadounidense,Spanish
ferretería,Spanish
ferrocarril,Spanish
idiosincrasia,Spanish
irresponsable,Spanish
irrumpir,Spanish
jamonero,Spanish
juguetón,Spanish
ojalá,Spanish
ornitorrinco,Spanish
otorrinolaringólogo,Spanish
paraguas,Spanish
parangaricutirimicuaro,Spanish
perro,Spanish
pertenecer,Spanish
pingüino,Spanish
prendiendo,Spanish
propósito,Spanish
prórroga,Spanish
ronronear,Spanish
semejante,Spanish
sonrojado,Spanish
trastorno,Spanish
triángulo,Spanish
verdadero,Spanish
vergüenza,Spanish
zurcir,Spanish
idiosyncrasy,English
willful,English
verisimilitude,English
vicarious,English
volition,English
unwitting,English
tenacious,English
sanguine,English
sequester,English
prerogative,English
perjury,English
nefarious,English
mortify,English
panacea,English
mellifluous,English
insidious,English
ignominy,English
extol,English
fortuitous,English
matriculate,English
oblivion,English
obfuscate,English
farcical,English
exalt,English
erudite,English
egalitarian,English
inexorable,English
inordinate,English
lugubrious,English
malfeasance,English
munificent,English
mercernary,English
nebulous,English
invective,English
ostentatious,English
pernicious,English
predilection,English
precipitous,English
proponent,English
rudimentary,English
renounce,English
reprehension,English
scrupulous,English
sanctimonious,English
subversive,English
trepidation,English
tantamount,English
unremitting,English
vilify,English
wistful,English
pèsca ,Italian
ghiaccio,Italian
già,Italian
scherzo ,Italian
chiacchierare ,Italian
segno ,Italian
aiuto ,Italian
lasciare ,Italian
agnostico ,Italian
mattina ,Italian
stuzzicadenti ,Italian
meraviglioso ,Italian
fagiolini ,Italian
promiscuità ,Italian
cinquecentocinquantacinque ,Italian
allora,Italian
lucciola,Italian
dimentico,Italian
sfogarsi,Italian
passeggiata,Italian
mascalzone,Italian
sgonfiato,Italian
parrucchiere,Italian
arrangiarsi,Italian
asciugamano,Italian
lacrima,Italian
a fanabla,Italian
curiosare,Italian
sorellina,Italian
topolino,Italian
schifoso,Italian
tesoro,Italian
sticazzi,Italian
mozzafiato,Italian
magari,Italian
baffona,Italian
struggimento,Italian
pantafolaio,Italian
gattara,Italian
menefreghista,Italian
culaccino,Italian
apericena,Italian
aiuola,Italian
buio,Italian
chiacchiericcio,Italian
iscriversi,Italian
esagerare,Italian
esercizio,Italian
coinquilino,Italian
brushcetta,Italian
über,German
eichhörnchen,German
zuhören,German
streichholzschachtel,German
ähnlich,German
wettbewerbsfähig,German
überwachung,German
umweltverschmutzung,German
etikettierung,German
woche ,German
jahr ,German
heute,German
gestern ,German
stunde ,German
uhr ,German
können ,German
benutzen ,German
kommen ,German
lachen ,German
schön ,German
hässlich ,German
schwierig ,German
freut ,German
sie ,German
kennenzulernen,German
wiedersehen,German
ich bin,German
rücken ,German
brustkorb,German
rindfleisch,German
polizistin ,German
schweinefleisch,German
lehrerin ,German
leiter ,German
ingenieur,German
angestellter,German
krankenschwester,German
fuß,German
verkäufer ,German
tschechien,German
rührei,German
kreuzschlitzschraubenzieher,German
quietscheentchen,German
röntgen,German
schlittschuhlaufen,German
regisseur,German
frucht,German
fünfhundertfünfundfünfzig,German
brötchen,German
streichholzschächtelchen,German
rue,French
yaourt,French
l'écureuil,French
semaine,French
cucurbitacée,French
pouilly-fuissé,French
chirurgie,French
fourrure,French
année,French
l'ours,French
millefeuille,French
l'accueil,French
l'oeil,French
bouteille,French
aujourd'hui,French
pouvoir,French
l'eau,French
mauvais,French
près de,French
pneu,French
verrerie ,French
serrurerie ,French
rassasié,French
quincaillerie ,French
cueillir ,French
bouilloire ,French
accueillir ,French
gérant ,French
infirmière ,French
poitrine,French
heureuse,French
gueule,French
grenouille,French
feuilleté,French
feuille,French
fauteuil,French
épanouissement,French
étang,French
eau ,French
ennuyer,French
enseigner,French
haut,French
fait,French
couleur,French
doigt,French
écureuil,French
droit,French
deux,French
dessus,French
dehors,French
sul sul,Simlish
chumcha,Simlish
ongie,Simlish
plum,Simlish
dag dag,Simlish
deg deg,Simlish
sperk,Simlish
nooboo,Simlish
checkmar,Simlish
om za gleb,Simlish
vous,Simlish
laka,Simlish
zo hungwah,Simlish
vens unch,Simlish
fretishe,Simlish
miza,Simlish
clops,Simlish
kik,Simlish
mik up,Simlish
dobbinips,Simlish
litzergam,Simlish
vadish,Simlish
shooflee,Simlish
chika,Simlish
mik,Simlish
mak,Simlish
maka,Simlish
kat,Simlish
gerbit,Simlish
wabadebadoo,Simlish
zep tor maboo,Simlish
fruby,Simlish
nart,Simlish
nu,Simlish
lass,Simlish
wub mezino,Simlish
nubba,Simlish
gronk,Simlish
shurb,Simlish
woven,Simlish
minnai,Simlish
dwam,Simlish
ilana,Simlish
jigga,Simlish
ne,Simlish
blow,Simlish
it,Simlish
yib-sim,Simlish
woofum,Simlish
om,Simlish
gr,Simlish
caba,Simlish
wui,Simlish
bay,Simlish
neeba zow,Simlish
jadosi,Simlish
neep,Simlish
aws,Simlish
garsha,Simlish
zow cay,Simlish
zagadoo,Simlish
oropea,Simlish
caribea,Simlish
posha,Simlish
gur,Simlish
gurn,Simlish
ah,Simlish
binkt,Simlish
marf,Simlish
apper,Simlish
nerk,Simlish
yibsim,Simlish
bweb,Simlish
stamby,Simlish
zerpa,Simlish
powey,Simlish
heb,Simlish
brich,Simlish
docturg,Simlish
bicoler,Simlish
luv,Simlish
sugnorg,Simlish
can't,Simlish
roli nowster,Simlish
cul,Simlish
gutta,Simlish
case,Simlish
fuens,Simlish
roo,Simlish
fweeka,Simlish
foo,Simlish
minza bar,Simlish
really,Simlish
va,Simlish
fa,Simlish
ninap,Simlish
tinap,Simlish
tinip,Simlish
ka,Simlish
hap,Simlish
cou,Simlish
ip,Simlish
aw,Simlish
nip,Simlish
taw,Simlish
deboo,Simlish
arogaba,Simlish
yibbs,Simlish
yibbsy,Simlish
