Word,Language
as,English
I,English
his,English
that,English
he,English
was,English
for,English
on,English
are,English
with,English
they,English
be,English
at,English
one,English
have,English
this,English
from,English
by,English
hot,English
word,English
but,English
what,English
some,English
is,English
it,English
you,English
or,English
had,English
the,English
of,English
to,English
and,English
a,English
in,English
we,English
can,English
out,English
other,English
were,English
which,English
do,English
their,English
time,English
if,English
will,English
how,English
said,English
an,English
each,English
tell,English
does,English
set,English
three,English
want,English
air,English
well,English
also,English
play,English
small,English
end,English
put,English
home,English
read,English
hand,English
port,English
large,English
spell,English
add,English
even,English
land,English
here,English
must,English
big,English
high,English
such,English
follow,English
act,English
why,English
ask,English
men,English
change,English
went,English
light,English
kind,English
off,English
need,English
house,English
picture,English
try,English
us,English
again,English
animal,English
point,English
mother,English
world,English
near,English
build,English
self,English
earth,English
father,English
any,English
new,English
work,English
part,English
take,English
get,English
place,English
made,English
live,English
where,English
after,English
back,English
little,English
only,English
round,English
man,English
year,English
came,English
show,English
every,English
good,English
me,English
give,English
our,English
under,English
name,English
very,English
through,English
just,English
form,English
sentence,English
great,English
think,English
say,English
help,English
low,English
line,English
differ,English
turn,English
cause,English
much,English
mean,English
before,English
move,English
right,English
boy,English
old,English
too,English
same,English
she,English
all,English
there,English
when,English
up,English
use,English
your,English
way,English
about,English
many,English
then,English
them,English
write,English
would,English
like,English
so,English
these,English
her,English
long,English
make,English
thing,English
see,English
him,English
two,English
has,English
look,English
more,English
day,English
could,English
go,English
come,English
did,English
number,English
sound,English
no,English
most,English
people,English
my,English
over,English
know,English
water,English
than,English
call,English
first,English
who,English
may,English
down,English
side,English
been,English
now,English
find,English
head,English
stand,English
own,English
page,English
should,English
country,English
found,English
answer,English
school,English
grow,English
study,English
still,English
learn,English
plant,English
cover,English
food,English
sun,English
four,English
between,English
state,English
keep,English
eye,English
never,English
last,English
let,English
thought,English
city,English
tree,English
cross,English
farm,English
hard,English
start,English
might,English
story,English
saw,English
far,English
sea,English
draw,English
left,English
late,English
run,English
don’t,English
while,English
press,English
close,English
night,English
real,English
life,English
few,English
north,English
book,English
carry,English
took,English
science,English
eat,English
room,English
friend,English
began,English
idea,English
fish,English
mountain,English
stop,English
once,English
base,English
hear,English
horse,English
cut,English
sure,English
watch,English
color,English
face,English
wood,English
main,English
open,English
seem,English
together,English
next,English
white,English
children,English
begin,English
got,English
walk,English
example,English
ease,English
paper,English
group,English
always,English
music,English
those,English
both,English
mark,English
often,English
letter,English
until,English
mile,English
river,English
car,English
feet,English
care,English
second,English
enough,English
plain,English
girl,English
usual,English
young,English
ready,English
above,English
ever,English
red,English
list,English
though,English
feel,English
talk,English
bird,English
soon,English
body,English
dog,English
family,English
direct,English
pose,English
leave,English
song,English
measure,English
door,English
product,English
black,English
short,English
numeral,English
class,English
wind,English
question,English
happen,English
complete,English
ship,English
area,English
half,English
rock,English
order,English
fire,English
south,English
problem,English
piece,English
told,English
knew,English
pass,English
since,English
top,English
whole,English
king,English
street,English
inch,English
multiply,English
nothing,English
course,English
stay,English
wheel,English
full,English
force,English
blue,English
object,English
decide,English
surface,English
deep,English
moon,English
island,English
foot,English
system,English
busy,English
test,English
record,English
boat,English
common,English
gold,English
possible,English
plane,English
stead,English
dry,English
wonder,English
laugh,English
thousand,English
ago,English
ran,English
check,English
game,English
shape,English
equate,English
hot,English
miss,English
brought,English
heat,English
snow,English
tire,English
bring,English
yes,English
distant,English
fill,English
east,English
paint,English
language,English
among,English
unit,English
power,English
town,English
fine,English
certain,English
fly,English
fall,English
lead,English
cry,English
dark,English
machine,English
note,English
wait,English
plan,English
figure,English
star,English
box,English
noun,English
field,English
rest,English
correct,English
able,English
pound,English
done,English
beauty,English
drive,English
stood,English
contain,English
front,English
teach,English
week,English
final,English
gave,English
green,English
oh,English
quick,English
develop,English
ocean,English
warm,English
free,English
minute,English
strong,English
special,English
mind,English
behind,English
clear,English
tail,English
produce,English
fact,English
space,English
heard,English
best,English
hour,English
better,English
TRUE,English
during,English
hundred,English
five,English
remember,English
step,English
early,English
hold,English
west,English
ground,English
interest,English
reach,English
fast,English
verb,English
sing,English
listen,English
six,English
table,English
travel,English
less,English
morning,English
ten,English
simple,English
several,English
vowel,English
toward,English
war,English
lay,English
against,English
pattern,English
slow,English
center,English
love,English
person,English
money,English
serve,English
appear,English
road,English
map,English
rain,English
rule,English
govern,English
pull,English
cold,English
notice,English
voice,English
energy,English
hunt,English
probable,English
bed,English
brother,English
egg,English
ride,English
cell,English
believe,English
perhaps,English
pick,English
sudden,English
count,English
square,English
reason,English
length,English
represent,English
art,English
subject,English
region,English
size,English
vary,English
